IBGE;UF;MUNICIPIO;CNES;NOME FANTASIA;RAZAO SOCIAL;CNPJ PROPRIO;CNPJ MANTENEDORA;TIPO GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP;LATITUDE;LONGITUDE
330370;RJ;PARAIBA DO SUL;2276216;UBS PALHAS LILIAN SALGADO;SECRETARIA MUNICIPAL DE SAUDE DE PARAIBA DO SUL;;29138385000806;M;AV PREFEITO BENTO GONCALVES PEREIRA;10;CENTRO;25850000;-22.162;-43.293
330420;RJ;RESENDE;3348075;CENOR;CENOR CENTRO OFTALMOLOGICO E NEUROLOGICO RESENDE LTDA;31848922000187;;M;AVENIDA MARCILIO DIAS;563;JARDIM JALISCO;27511970;-22.46545;-44.45686
330220;RJ;ITAPERUNA;5043824;MARCO AURELIO AGUIAR RAEDER;MARCO AURELIO AGUIAR RAEDER;;;M;AVENIDA CARDOSO MOREIRA;841;CENTRO;28300000;-21.19200;-41.89575
330600;RJ;TRES RIOS;5073545;UBS PALMITAL;FUNDO MUNICIPAL DE SAUDE DE TRES RIOS;;29138377000193;M;RUA PROFESSOR MOREIRA;S/N;VILA ISABEL;25812090;-22.117;-43.209
330040;RJ;BARRA MANSA;3649849;ROSANA SOARES DE ALMEIDA SILVA;ROSANA SOARES DE ALMEIDA SILVA;;;M;AV FRANCISCO VILELA DE ANDRADE NETO;44;CENTRO;27330040;-22.54631;-44.16757
330040;RJ;BARRA MANSA;3422917;LACLINSA;A V JUNIOR LABORATORIO ANALISES CLINICAS;30206783000125;;M;AV JOAQUIM LEITE;01;CENTRO;27345020;-22.54608;-44.16800
330270;RJ;MARICA;2266792;POSTO DE SAUDE SANTA RITA;MUNICIPIO DE MARICA;;29131075000193;M;RUA 36 QD;433;JARDIM ATLANTICO;24934030;-22.95649;-42.99671
330600;RJ;TRES RIOS;3433552;SELVA EVELIN ANDREANI VALADARES;SELVA EVELIN ANDREANI VALADARES;;;M;RUA QUINZE DE NOVEMBRO;402;CENTRO;25804000;-22.117;-43.209
330030;RJ;BARRA DO PIRAI;2287862;UBS JOAO GOMES;MUNICIPIO DE BARRA DO PIRAI;;28576080000147;M;RUA LENI DE SOUZA;2100;FATIMA;27150240;-22.48589;-43.84992
330250;RJ;MAGE;5472741;UNIDADE SAUDE DE FAMILIA CANAL;MUNICIPIO DE MAGE;;29138351000145;M;RUA PROFESSOR JOSE LEANDRO;1005;CANAL;25900660;-22.65326;-43.03986
330360;RJ;PARACAMBI;3142922;MSC AMAPA;MUNICIPIO DE PARACAMBI;;29138294000102;M;RUA CIPRIANO RODRIGUES CABRAL;355;AMAPA;26600000;-22.611;-43.709
330575;RJ;TANGUA;5375797;UNIDADE DE SAUDE DA FAMILIA DUQUES;SECRETARIA MUNICIPAL DE SAUDE DE TANGUA;;01612089000100;M;RUA FLOR DE MAIO;S/N;DUQUES;24890000;-22.74109;-42.78112
330010;RJ;ANGRA DOS REIS;3145395;YONE DI SARLI DOS SANTOS;YONE DE OLIVEIRA DI SARLI;;;M;RUA CORONEL CARVALHO;539;CENTRO;23900310;-23.00571;-44.31593
330010;RJ;ANGRA DOS REIS;3145441;NELSON NOGAROLI JUNIOR;NELSON NOGAROLI JUNIOR;;;M;RUA CORONEL CARVALHO;539;CENTRO;23900310;-23.00571;-44.31593
330330;RJ;NITEROI;3145867;CMIP CENTRO MEDICO INTEGRADO PIRATININGA;CENTRO MEDICO INTEGRADO PIRATININGA;27679430000138;;M;RUA MANOEL PACHECO DE CARVALHO;327;PIRATININGA;24350401;-22.94244;-43.05622
330560;RJ;SILVA JARDIM;2274019;UNIDADE MUNICIPAL DE SAUDE DA FAMILIA DE VARGINHA;PREFEITURA MUNICIPAL DE SILVA JARDIM;;28741098000157;M;PRACA DA VARGINHA;S/N;VARGINHA;28820000;-22.61405;-42.40762
330410;RJ;PORCIUNCULA;5346258;MODULO PSF CENTRO;PREFEITURA MUNICIPAL DE PORCIUNCULA;;28920999000106;M;RUA PREFEITO SEBASTIAO RODRIGUES FRANCA;10;CENTRO;28390000;-20.96404;-42.04083
330580;RJ;TERESOPOLIS;2292491;APAE TERESOPOLIS;APAE TE;28857951000109;;M;WILHELM CRISTIAN KLEME;700;ERMITAGE;25975550;-22.41432;-42.95041
330390;RJ;PETROPOLIS;3148068;CENTRO MEDICO LOUIS PASTEUR;CENTRO MEDICO LOUIS PASTEUR SS LTDA;30226690000162;;M;RUA DR NELSON DE SA EARP;25;CENTRO;25680030;-22.51183;-43.18004
330350;RJ;NOVA IGUACU;3761231;ADRIANO GONCALVES PEREIRA;ADRIANO GONCALVES PEREIRA;;;M;RUA DOUTOR THIBAU;80;CENTRO;26255161;-22.7532;-43.454
330320;RJ;NILOPOLIS;3023788;HEMODINIL CENTRO DE HEMODIALISE E DIAGNOSTICO;HEMODINIL CENTRO DE HEMODIALISE E DIAGNOSTICO;07388632000113;;M;ESTRADA GENERAL MENA BARRETO;433;CENTRO;26525330;-22.80227;-43.41819
330600;RJ;TRES RIOS;5349249;MICHELLE FONSECA CORREA MAIA;MICHELLE FONSECA CORREA MAIA;;;M;RUA DR OSWALDO CRUZ;236;CENTRO;25802140;-22.117;-43.209
330220;RJ;ITAPERUNA;3783553;ROBERTO ANTONIO GUIMARAES;ROBERTO ANTONIO GUIMARAES;;;M;RUA RUI BARBOSA;383;CENTRO;28300000;-21.21352;-41.87650
330270;RJ;MARICA;3405508;ESTER MARIA FERNANDES DE MACEDO;ESTER MARIA FERNANDES DE MACEDO;;;M;AV PREFEITO IVAN MUNDIM;4269;ARACATIBA;24901435;-22.97100;-42.92478
330455;RJ;RIO DE JANEIRO;3495086;CLINICA DA IMAGEM;CLINICA DA IMAGEM AO DIAGNOSTICO MEDICO LTDA;29263928000140;;M;RUA VISCONDE DE SILVA;52;BOTAFOGO;22271091;-22.95727;-43.19358
330010;RJ;ANGRA DOS REIS;3495531;ANGRA RIM;ANGRA RIM SERVICOS MEDICOS LTDA;03641507000112;;M;RUA ORLANDO GONCALVES;70;PARQUE DAS PALMEIRAS;23906540;-22.99898;-44.30399
330100;RJ;CAMPOS DOS GOYTACAZES;3161994;BIO BALBI LABORATORIO DE ANALISES CLINICAS;BIO BALBI LABORATORIO DE ANALISES CLINICAS LTDA;06157516000120;;M;AV SEN JOSE CARLOS PEREIRA PINTO;822;PQ BARAO RIO BRANCO;28010010;-21.74852;-41.31133
330430;RJ;RIO BONITO;3013642;CENTRO MEDICO INTEGRADO;COELI E FARIA LTDA;01197568000107;;M;PRACA FONSECA PORTELA;22;CENTRO;28800000;-22.71063;-42.62441
330455;RJ;RIO DE JANEIRO;2296616;UFRJ IPPMG INST DE PUER PED MARTAGAO GESTEIRA;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;33663683002674;33663683000116;M;BRUNO LOBO;50;CIDADE UNIVERSITARIA;21941912;-22.84086;-43.23836
330220;RJ;ITAPERUNA;2279266;UNIDADE DE SAUDE DA FAMILIA NOSSA SENHORA DA PENHA ARE;SECRETARIA MUNICIPAL DE SAUDE;;28916716000152;M;FRANCISCO MIGUELITO;S/N;NOSSA SENHORA DA PEN;28300000;-21.19689;-41.89715
330050;RJ;BOM JARDIM;6568025;CAPS UNIDADE BOM JARDIM;FUNDO MUNICIPAL DE SAUDE DE BOM JARDIM;;28561041002209;M;RUA PERICLES CORREA DA ROCHA;555;CENTRO;28660000;-22.15200;-42.41900
330050;RJ;BOM JARDIM;6566464;VIGILANCIA SANITARIA MUNICIPAL BOM JARDIM;SECRETARIA MUNICIPAL DE SAUDE DE BOM JARDIM;;28561041002209;M;PRACA GOVERNADOR ROBERTO SILVEIRA;44;CENTRO;28660000;-22.15200;-42.41900
330070;RJ;CABO FRIO;6946305;ODONTOCLINI;ELIZANGELA DE ALMEIDA FERREIRA SOUZA;;;M;RODOVIA AMARAL PEIXOTO;211;TAMOIOS;28905000;-22.71770;-42.02144
330070;RJ;CABO FRIO;2278049;POSTO DE SAUDE THEONAS GARCIA TERRA;SECRETARIA MUNICIPAL DE SAUDE DE CABO FRIO;;36475879000175;M;RUA LEONOR CARDOSO DA FONSECA;S/N;PORTO DO CARRO;28923030;-22.85672;-42.03218
330080;RJ;CACHOEIRAS DE MACACU;2289814;LABORATORIO MUNICIPAL;SMSDC DE CACHOEIRAS DE MACACU;;05572405000118;M;RUA ROMEU CAETANO GUIDA;22;CAMPO DO PRADO;28680000;-22.46300;-42.65300
330080;RJ;CACHOEIRAS DE MACACU;6071317;DAVI MIRANDA LEMOS;DAVI MIRANDA LEMOS;;;M;RUA PLINIO CASADO;410;CAMPO DO PRADO;28680000;-22.46300;-42.65300
330080;RJ;CACHOEIRAS DE MACACU;2696398;USF SAO JOSE DA BOA MORTE;SMSDC DE CACHOEIRAS DE MACACU;;05572405000118;M;EST RIO FRIBURGO;S/N;3 DISTRITO;28680000;-22.46300;-42.65300
330080;RJ;CACHOEIRAS DE MACACU;5889510;LABORATORIO RIO BRANCO;ANALISES CLINICAS RIO BRANCO LTDA;32320251000140;;M;AV GAL PAULO FRANCISCO TORRES;346;PAPUCAIA;28695000;-22.46300;-42.65300
330130;RJ;CASIMIRO DE ABREU;2294095;UBS AUTOEPSOM DINIZ DE CARVALHO;SECRETARIA MUNICIPAL DE SAUDE DE CASIMIRO DE ABREU RJ;;29115458000178;M;RUA WALDEMAR DE SOUZA DUARTE;S/N;RIO DOURADO;28860000;-22.481;-42.204
330095;RJ;COMENDADOR LEVY GASPARIAN;2271052;PRONTO ATENDIMENTO FERNANDA MONTEIRO MARQUES;MUNICIPIO DE COMENDADOR LEVY GASPARIAN;;39554597000151;M;RUA EUCLIDES DANTAS WERNECK;06;CENTRO;25870000;-22.03150;-43.20491
330160;RJ;DUAS BARRAS;6643515;LABORATORIO MICROLAB 2000 LTDA;POSTO DE COLETA DO LABORATORIO MICROLAB 2000 LTDA;08033262000245;;M;RUA COMENDADOR ALVES RIBEIRO;11;CENTRO;28650000;-22.051;-42.522
330185;RJ;GUAPIMIRIM;6287832;CAPS CENTRO DE ATENCAO PSICOSOCIAL;PREFEITURA MUNICIPAL DE GUAPIMIRIM;;39547500000183;M;RUA ROGERIO CORTEZ;180;PAIOL;25945886;22.3123;42.5848
330185;RJ;GUAPIMIRIM;6918697;ZUMBI DOS PALMARES DE GUAPI;ASSOCIACAO EDUCACIONAL ZUMBI DOS PALMARES DE GUAPIMIRIM;04457696000130;;M;ESTRADA RIO FRIBURGO;400;PARADA MODELO;25943575;-22.3254;-42.5900
330190;RJ;ITABORAI;5938139;FERNANDA LEMOS SOARES QUINTANILHA;FERNANDA LEMOS SOARES QUINTANILHA;;;M;RUA ADELINA MARIA DA CONCEICAO;21;CENTRO;24800057;-22.74685;-42.85604
330205;RJ;ITALVA;6166717;ESF ESTRATEGIA SAUDE DA FAMILIA ORLANDO MADUREIRA;SECRETARIA MUNICIPAL DE SAUDE DE ITALVA;;30417208000171;M;RUA CORONEL LUIS SALLES;414;MORRO GRANDE;28250000;-21.42143;-41.69448
330220;RJ;ITAPERUNA;2278952;UNIDADE DE SAUDE DA FAMILIA ITELVINA BASTOS FRANCA RAPOSO;SECRETARIA MUNICIPAL DE SAUDE;;28916716000152;M;AVENIDA CORONEL BALBINO;70;RAPOSO;28333000;-21.20500;-41.88800
330225;RJ;ITATIAIA;6008208;CLINICA MUNICIPAL DE FISIOTERAPIA DE ITATIAIA;SECRETARIA MUNICIPAL DE SAUDE DE ITATIAIA;;31846892000170;M;AVENIDA DOS EXPEDICIONARIOS;0;CENTRO;27580000;-22.49600;-44.56300
330227;RJ;JAPERI;6694128;ABONA ODONTOLOGICA LTDA;ABONA;11334567000110;;M;PRACA OLAVO BILAC;S/N;ENGENHEIRO PEDREIRA;26445010;-22.67724;-43.60540
330250;RJ;MAGE;2278634;CENTRO DE ESPECIALIDADE DE MAGE DR JOAO LUIZ DE ALENCAR JR;MUNICIPIO DE MAGE;;29138351000145;M;RUA EXPEDICIONARIO;39;CENTRO;25900019;-22.65328;-43.03836
330250;RJ;MAGE;6284795;CENTRO DE ESPECIALIDADE AMBULATORIAL DE RAIZ DA SERRA;MUNICIPIO DE MAGE;;29138351000145;M;PRACA MARECHAL ANGELO MENDES DE MORAES;S/N;CENTRO VILA INHOMI;25933590;-22.65134;-43.04014
330250;RJ;MAGE;5483182;CESAR FONSECA DA SILVA;CESAR FONSECA DA SILVA;;;M;RUA CARAMURU;75;PIABETA INHOMIRIM;25931806;-22.60705;-43.17589
330250;RJ;MAGE;2278456;HOSPITAL MUNICIPAL DE STO ALEIXO DR WALTER MORAES DE ARRUDA;MUNICIPIO DE MAGE;;29138351000145;M;RUA LAURA MAGALHAES TEIXEIRA;1340;BRITADOR SANTO ALEI;25914130;-22.57148;-43.05604
330250;RJ;MAGE;5483190;MONICA APARECIDA LEITE DE CARVALHO;MONICA APARECIDA LEITE DE CARVALHO;;;M;AV CAIOABA;504;PIABETA VILA INHOMI;25931742;-22.61261;-43.17917
330250;RJ;MAGE;2278448;UNIDADE DE SAUDE DA FAMILIA DE ANDORINHAS;MUNICIPIO DE MAGE;;29138351000145;M;RUA WALDEMAR COLOMBO GARCIA;S/N;ANDORINHAS;25911246;-22.54739;-43.04472
330250;RJ;MAGE;2278391;UNIDADE MISTA DE SURUI;MUNICIPIO DE MAGE;;29138351000145;M;RUA CEL SERGIO JOSE DO AMARAL;S/N;SURUI CENTRO;25900073;-22.65356;-43.03711
330250;RJ;MAGE;6447740;SAUDE RIO DENTAL;GABRIEL TEIXEIRA JAHARA;;;M;RUA DOUTOR DOMINGOS BELIZZE;288;CENTRO;25900058;-22.65391;-43.04097
330250;RJ;MAGE;5472687;UNIDADE SAUDE DA FAMILIA DA CONCEICAO;MUNICIPIO DE MAGE;;29138351000145;M;ESTRADA DA CONCEICAO;S/N;CAMPINHO;25918010;-22.65241;-43.04396
330250;RJ;MAGE;3594483;CLIMAMP;CLIMAMP CLINICA MEDICA AMBULATORIAL PIABETA LTDA;28328292000105;;M;RUA JACI;29;VILA INHOMIRIM;25931830;-22.65292;-43.03889
330260;RJ;MANGARATIBA;6060188;ESF INGAIBA;SECRETARIA MUNICIPAL DE SAUDE;;29138310002100;M;ESTRADA DO BATATAL;S/N;INGAIBA;23860000;-22.96000;-44.04100
330260;RJ;MANGARATIBA;2266687;C S MUN CONCEICAO DE JACAREI LIDIA DA COSTA FERNANDES;SECRETARIA MUNICIPAL DE SAUDE;;29138310002100;M;AL WALDOMIRO JOSE NOGUEIRA;16;CONCEICAO DE JACAREI;23885000;-23.02928;-44.16374
330280;RJ;MENDES;6077234;VANIA LUCIA CAETANO FRANCISQUINI;VANIA LUCIA CAETANO FRANCISQUINI;;;M;RUA CAPITAO FRANCISCO CABRAL;95;CENTRO;26700000;-22.52546;-43.73199
330290;RJ;MIGUEL PEREIRA;2283034;POSTO DE SAUDE SARAH K OLIVEIRA;SECRETARIA MUNICIPAL DE SAUDE DE MIGUEL PEREIRA;;32415283000129;M;RUA DONA CARLOTA;155;GOVERNADOR PORTELA;26910000;-22.47728;-43.49886
330290;RJ;MIGUEL PEREIRA;2283026;POSTO DE SAUDE DR JOSE ORLOFF RODRIGUES MONTEIRO;SECRETARIA MUNICIPAL DE SAUDE DE MIGUEL PEREIRA;;32415283000129;M;ROD ARI SHIAVO;S/N;GOV PORTELA;26910000;-22.48063;-43.50422
330300;RJ;MIRACEMA;2285819;SUBPOSTO DE SAUDE DE AREIAS;MUNICIPIO DE MIRACEMA;;29114121000146;M;AREIAS;S/N;AREIAS;28460000;-21.41200;-42.19700
330300;RJ;MIRACEMA;2285835;LABORATORIO FAVER;LABORATORIO FAVER LTDA;29034899000145;;M;PRACA SALIM DAMIAN;57;CENTRO;28460000;-21.41694;-42.20023
330310;RJ;NATIVIDADE;2276267;HOSPITAL NATIVIDADE;CAIXA DOS POBRES DE NATIVIDADE;29885506000107;;M;AV MAURO ALVES RIBEIRO JUNIOR;1044;BALNEARIO;28380000;-21.04200;-41.97300
330310;RJ;NATIVIDADE;2704331;POSTO DE SAUDE DO QUERENDO PSF;FUNDO MUNICPAL DE SAUDE;;28920304000196;M;PRACA FRANCISCO ROSA DA SILVA;S/N;QUERENDO;28380000;-21.04200;-41.97300
330340;RJ;NOVA FRIBURGO;2271702;USF DE CENTENARIO;MUNICIPIO DE NOVA FRIBURGO;;28606630000123;M;CENTENARIO DE SALINAS;S/N;CENTENARIO;28630990;-22.282;-42.531
330350;RJ;NOVA IGUACU;6443613;ODONTO CENTER;VPR ODONTOLOGIA LTDA;11262174000149;;M;RUA PROFESSORA MARLY DE CARVALHO PEREIRA;143;MIGUEL COUTO;26210000;-22.70948;-43.42823
330360;RJ;PARACAMBI;2279320;MSC FLORESTA;MUNICIPIO DE PARACAMBI;;29138294000102;M;RUA CAPITAO BRAGA;100;FLORESTA;26600000;-22.611;-43.709
330370;RJ;PARAIBA DO SUL;5932610;CRESPO E CRESPO SERVICOS MEDICOS S S LTDA ME;CRESPO E CRESPO SERVICOS MEDICOS S S LTDA ME;09520258000274;;M;RUA TIRADENTES;114;CENTRO;25850000;-22.16056;-43.28677
330380;RJ;PARATI;6753574;PARATYMED;CARLOS ROBERTO LIMA NUNES ME;10794754000114;;M;RUA ALDEMAR GOMES DUARTE COELHO;S/N;PARQUE IMPERIAL;23970000;-23.218;-44.713
330380;RJ;PARATI;2696614;UNIDADE DE SAUDE DA FAMILIA DE TRINDADE;SECRETARIA MUNICIPAL DE SAUDE DE PARATY;;29172475000147;M;TRINDADE;S/N;TRINDADE;23970000;-23.35073;-44.72568
330385;RJ;PATY DO ALFERES;5922534;ESPACO VIDAS;ADRIANA DE MIRANDA OLIVEIRA CARVALHO;;;M;RUA SEBASTIAO DE LACERDA;112;CENTRO;26950000;-22.42900;-43.41900
330390;RJ;PETROPOLIS;5217547;CEHP CLINICA DE ENDOCRINOLOGIA E HEMATOLOGIA DE PETROPOLIS;CEHP CLINICA DE ENDOCRINOLOGIA E HEMATOLOGIA DE PETROPOLIS;17872477000160;;M;RUA MARECHAL DEODORO;46;CENTRO;25620150;-22.51166;-43.17804
330390;RJ;PETROPOLIS;6197612;METHODICA METODOS COMPLEMENTARES EM CARDIOLOGIA;METHODICA METODOS COMPLEMENTARES EM CARDIOLOGIA;36439685000203;;M;RUA MARECHAL DEODORO;46;CENTRO;25620150;-22.51165;-43.17804
330390;RJ;PETROPOLIS;6667147;CLINICA DR FRAGOSO BORGES LTDA;CLINICA DR FRAGOSO BORGES LTDA;30719504000127;;M;RUA SANTOS DUMONT;420;CENTRO;25625090;-22.51089;-43.16722
330390;RJ;PETROPOLIS;3655946;CLIGER ODONTO LTDA;CLIGER ODONTO LTDA;04009827000117;;M;RUA DR ALENCAR LIMA;35;CENTRO;25620050;-22.51088;-43.17857
330390;RJ;PETROPOLIS;6627846;JULIO CEZAR DOS SANTOS;JULIO CEZAR DOS SANTOS;;;M;RUA MARECHAL DEODORO;46;CENTRO;25620150;-22.51167;-43.17804
330390;RJ;PETROPOLIS;3668517;HENRY GEORGE SANTOS;HENRY GEORGE SANTOS;;;M;RUA MARECHAL DEODORO;46;CENTRO;25620150;-22.51153;-43.17746
330390;RJ;PETROPOLIS;5352908;HUMBERTO PORTUGAL KARL;HUMBERTO PORTUGAL KARL;;;M;RUA MARECHAL DEODORO;79;CENTRO;25620150;-22.51167;-43.17726
330390;RJ;PETROPOLIS;6190650;LUIZ ANTONIO DE SOUZA;LUIZ ANTONIO DE SOUZA;;;M;RUA DOUTOR ALENCAR LIMA;35;CENTRO;25680000;-22.51088;-43.17857
330390;RJ;PETROPOLIS;3752879;JOSE ANTONIO DOS S F DE A DE PINNA CABRAL;JOSE ANTONIO DOS S F DE A DE PINNA CABRAL;;;M;RUA MARECHAL DEODORO;79;CENTRO;25620150;-22.51167;43.17727
330390;RJ;PETROPOLIS;2275562;HOSPITAL ALCIDES CARNEIRO;MUNICIPIO DE PETROPOLIS;;29138344000143;M;RUA VIGARIO CORREA;1345;CORREAS;25720320;-22.505;-43.179
330390;RJ;PETROPOLIS;6214916;CLAUDIA SALVINI BARBOSA MARTINS DA FONSECA;CLAUDIA SALVINI BARBOSA MARTINS DA FONSECA;;;M;RUA MARECHAL DEODORO;46;CENTRO;25620150;-22.51166;-43.17804
330390;RJ;PETROPOLIS;6250211;LUCIANE EIRAS LAGRECA;LUCIANE EIRAS LAGRECA;;;M;RUA MARECHAL DEODORO;79;CENTRO;25620150;-22.51170;-43.17728
330390;RJ;PETROPOLIS;5200709;JOAO DAMASCENO GIFFONI NETO;JOAO DAMASCENO GIFFONI NETO;;;M;RUA MARECHAL DEODORO;79;CENTRO;25620150;-22.51169;-43.17728
330390;RJ;PETROPOLIS;6193773;ORTOPINA CLINICA ORTOPEDICA E TRAUMATOLOGICA;ORTOPINA CLINICA ORTOPEDICA E TRAUMATOLOGICA LTDA;13928769000116;;M;RUA DR NELSON DE SA EARP;95;CENTRO;25680000;-22.51160;-43.18069
330390;RJ;PETROPOLIS;6196918;ALEXANDRE MACERI MIDAO;ALEXANDRE MACERI MIDAO;;;M;RUA MARECHAL DEODORO;79;CENTRO;25620150;-22.51170;-43.17726
330390;RJ;PETROPOLIS;5182999;ANTONIO SANTORO;ANTONIO SANTORO;;;M;RUA MARECHAL DEODORO;79;CENTRO;25680000;-22.51166;-43.17727
330390;RJ;PETROPOLIS;5174996;EDMEE BRAGA LIMA;EDMEE BRAGA LIMA;;;M;RUA MARECHAL DEODORO;79;CENTRO;25620150;-22.51170;-43.17727
330190;RJ;ITABORAI;3157121;BABY CLINICA;BABY CLINICA LTDA;00913096000189;;M;RUA JOSE SERPA FERRAZ;54;NOVA CIDADE;24800081;-22.74728;-42.85412
330190;RJ;ITABORAI;2268922;HOSPITAL MUNICIPAL DESEMBARGADOR LEAL JUNIOR HMDLJ;PREFEITURA MUNICIPAL DE ITABORAI;;28741080000155;M;ESTRADA PREFEITO ALVARO DE CARVALHO JUNIOR;S/N;NANCILANDIA;24801064;-22.73763;-42.84894
330270;RJ;MARICA;3132358;CDT ENFERMEIRA MARIA IVONILDA RODRIGUES COELHO;MUNICIPIO DE MARICA;;29131075000193;M;RUA ARI SPINDOLA;000;CENTRO;24900485;-22.91808;-42.81770
330510;RJ;SAO JOAO DE MERITI;5191068;CONSULTORIO DR MARIA MICHEL;MMK AMBULATORIO MEDICO LTDA;02461880000129;;M;RUA SALIM RASUCK;28;CENTRO;25520080;-22.804;-43.372
330190;RJ;ITABORAI;3337138;UNIDADE DE SAUDE DA FAMILIA ELIANOPOLIS;PREFEITURA MUNICIPAL DE ITABORAI;;28741080000155;M;RUA SETE;S/N;SANTO ANTONIO;24856528;-22.76451;-42.92117
330010;RJ;ANGRA DOS REIS;5192536;MARISA DOS SANTOS BITENCOURT;MARISA DOS SANTOS BITTENCOURT;;;M;RUA CORONEL CARVALHO;539;CENTRO;23900310;-23.00571;-44.31593
330390;RJ;PETROPOLIS;2275902;POSTO DE SAUDE ITAIPAVA;MUNICIPIO DE PETROPOLIS;;29138344000143;M;ESTRADA PHILUVIO CERQUEIRA RODRIGUES;S/N;ITAIPAVA;25745071;-22.505;-43.179
330455;RJ;RIO DE JANEIRO;2273470;MS INCA LAB DE IMUNOGENETICA;MS INCA LAB DE IMUNOGENETICA INSTITUTO NACIONAL DE CANCER;;00394544017150;M;PRACA MARECHAL HERMES;80;SANTO CRISTO;20220430;-22.903;-43.208
330600;RJ;TRES RIOS;3929140;SANDRA MATTOS DOS SANTOS;SANDRA MATTOS DOS SANTOS;;;M;RUA OSWALDO CRUZ;236;CENTRO;25805000;-22.11741;-43.20593
330340;RJ;NOVA FRIBURGO;3614530;ALDINO TAVARES DE SOUZA JUNIOR;ALDINO TAVARES DE SOUZA JUNIOR;;;M;RUA DOUTOR ERNESTO BRASILIO;64;CENTRO;28621120;-22.282;-42.531
330340;RJ;NOVA FRIBURGO;3615510;SIMONE DE SOUZA BROWNE DE PAULA;SIMONE DE SOUZA BROWNE DE PAULA;;;M;AV COND DEU;625;PARQUE SAO CLEMENTE;28620100;-22.282;-42.531
330340;RJ;NOVA FRIBURGO;3615529;MAURICIO BROWNE DE PAULA;MAURICIO BROWNE DE PAULA;;;M;AV COND DEU;625;PARQUE SAO CLEMENTE;28620100;-22.282;-42.531
330225;RJ;ITATIAIA;2288265;UNIDADE DE VIGILANCIA EM SAUDE DE ITATIAIA;SECRETARIA MUNICIPAL DE SAUDE DE ITATIAIA;;31846892000170;M;RUA ISABEL VIEIRA;S/N;CENTRO;27580000;-22.49230;-44.56817
330350;RJ;NOVA IGUACU;2281996;CLINICA RADIOLOGICA NOVA IGUACU LTDA;CLINICA RADIOLOGICA NOVA IGUACU LTDA;30362776000112;;M;RUA DR LOURIVAL RIBEIRO DA SILVA;92;CENTRO;26221080;-22.76300;-43.44307
330200;RJ;ITAGUAI;5595339;CENTRO DE ESPECIALIDADES ODONTOLOGICAS CEO;MUNICIPIO DE ITAGUAI;;29138302000102;M;RUA ALZIRO SANTIAGO;18;VILA MARGARIDA;23821030;-22.87135;-43.79279
